Oscarella lobularis
Schizomavella (Schizomavella) auriculata
Palio dubia
Nitzschia grunowii
Tripos pentagonus
Phrynorhombus norvegicus
Nipponnemertes pulcher
Candacia ethiopica
Kellia suborbicularis
Nannolaimus fusus
Enipo kinbergi
Pleurobranchus membranaceus
Eurynome aspera
Streblosoma intestinale
Laevicardium crassum
Streptodonta exsulis
Cyartonema elegans
Rhodophysema elegans
Doto lemchei
Sarsia tubulosa
Laetmonice hystrix
Microlaimus ostracion
Parasagitta setosa
Xyala riemanni
Metachromadora suecica
Nephtys hystricis
Proameira simplex
Tripos muelleri
Tripos lineatus
Pachymatisma johnstonia
Odonthalia dentata
Anguilla anguilla
Ampharete octocirrata
Galathea strigosa
Rhodothamniella floridula
Falcidens crossotus
Pachycerianthus multiplicatus
Tripos ranipes
Chaetopteris plumosa
Doto fragilis
Pholoe inornata
Eubranchus exiguus
Syllides japonicus
Phyllodoce rosea
Ampharete lindstroemi
Microporella ciliata
Syllides longocirratus
Chamelea gallina
Eualus cranchii
Ampithoe rubricata
Xiphias gladius
Rhizosolenia pungens
Odostomia acuta
Uria aalge
Pomponema debile
Percursaria percursa
Bathyporeia pelagica
Trophonopsis muricata
Tubificoides crenacoleus
Vitreolina philippi
Euspira catena
Paramphitrite birulai
Sertularia cupressina
Harmothoe fragilis
Vesicularia spinosa
Cruoria pellita
Antinoe finmarchica
Naineris quadricuspida
Bacteriastrum delicatulum
Leucosolenia complicata
Drachiella heterocarpa
Ophiopsila annulosa
Grateloupia turuturu
Ophelina acuminata
Goniada maculata
Euclymene lombricoides
Bodotria scorpioides
Mesogloia vermiculata
Erythrodermis traillii
Moerella donacina
Oxytoxum scolopax
Leiochone johnstoni
Nonionella iridea
Chuniphyes multidentata
Spatulodinium pseudonoctiluca
Nucula nucleus
Buccella hannai
Lensia conoidea
Cladostephus spongiosus
Cladophora vagabunda
Elphidium excavatum
Robertinoides charlottensis
Parafissurina groenlandica
Parasagitta elegans
Cassidulina teretis
Peyssonnelia immersa
Lomentaria articulata
Salmo trutta
Ceramium pallidum
Stetsonia horvathi
Triloculina frigida
Lagenammina difflugiformis
Photis longicaudata
Dexamine spinosa
Ectocarpus fasciculatus
Eucytherura delineata
Ruppia cirrhosa
Phaxas pellucidus
Eunereis longissima
Golfingia (Golfingia) margaritacea
Hydractinia echinata
Spio filicornis
Chondria dasyphylla
Serpula vermicularis
Cribrostomoides jeffreysii
Semibalanus balanoides
Protoperidinium bipes
Iphimedia minuta
Halecium halecinum
Leptosynapta inhaerens
Ditrupa arietina
Nephtys assimilis
Pseudomystides limbata
Ptilota gunneri
Gouldia minima
Margarites helicinus
Cheirocratus intermedius
Synchelidium maculatum
Tholosina confusa
Gloiosiphonia capillaris
Goniada norvegica
Pisidia longicornis
Melanella alba
Obelia dichotoma
Krithe minima
Travisia forbesii
Socarnes erythrophthalmus
Trivia arctica
Eurysyllis tuberculata
Gyroidina orbicularis
Didemnum maculosum
Rostanga rubra
Phascolion (Phascolion) strombus
Aphrodita aculeata
Maera loveni
Sthenelais limicola
Cladophora albida
Entomoneis paludosa
Bathysiphon flexibilis
Amphorina pallida
Polyophthalmus pictus
Aporrhais pespelecani
Guernea (Guernea) coalita
Alvania beanii
Ocenebra erinaceus
Buccinum undatum
Sphacelaria cirrosa
Strongylocentrotus pallidus
Scalibregma celticum
Spermothamnion repens
Cytheropteron pseudoinflatum
Phakellia ventilabrum
Crassicorophium crassicorne
Amphicoryna scalaris
Bulimina aculeata
Glabratella bispinosa
Uvigerina mediterranea
Onchidoris bilamellata
Maurolicus muelleri
Paranaitis kosteriensis
Apistobranchus tullbergi
Hillea fusiformis
Corynactis viridis
Amphiura filiformis
Tryphosa nana
Spyridia griffithsiana
